Order_ID,Order_Date,City,Category,Product,Quantity,Unit_Price,Discount_%,Revenue
ORD000001,2024-07-24,Lahore,Electronics,Samsung Galaxy S24,1,74999,10,67499.1
ORD000002,2024-11-25,Islamabad,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000003,2025-01-17,Karachi,Home,Philips Air Fryer,1,8999,0,8999.0
ORD000004,2024-09-01,Model Town,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000005,2024-09-17,Johar Town,Home,Philips Air Fryer,1,8999,10,8099.1
ORD000006,2024-12-03,Lake City,Electronics,OnePlus 12,2,64999,10,116998.2
ORD000007,2024-10-16,Bahria,Electronics,OnePlus 12,1,64999,10,58499.1
ORD000008,2024-11-11,Wapda Town,Electronics,Samsung Galaxy S24,1,74999,10,67499.1
ORD000009,2024-08-09,,Fashion,Levi's Jeans,2,2499,15,4248.3
ORD000010,2026-01-26,Chennai,Home,Philips Air Fryer,1,8999,10,8099.1
ORD000011,2025-06-19,Delhi,Electronics,Sony WH-1000XM5,2,29999,0,59998.0
ORD000012,2024-06-28,Pune,Fashion,Levi's Jeans,4,2499,5,9496.2
ORD000013,2025-08-30,Bengaluru,Home,Philips Air Fryer,1,8999,10,8099.1
ORD000014,2024-11-16,Pune,Fashion,Nike Air Max,1,6999,10,6299.1
ORD000015,2025-02-04,Bengaluru,Electronics,OnePlus 12,1,64999,5,61749.05
ORD000016,2025-08-12,Chennai,Home,IKEA Study Table,1,12999,5,12349.05
ORD000017,2024-08-11,Chennai,Electronics,Apple iPhone 15,1,79999,0,79999.0
ORD000018,2025-07-24,Chennai,Home,Philips Air Fryer,1,8999,5,8549.05
ORD000019,2024-07-23,Kolkata,Electronics,Sony WH-1000XM5,2,29999,15,50998.3
ORD000020,2024-12-17,Hyderabad,Electronics,OnePlus 12,1,64999,5,61749.05
ORD000021,2025-06-17,Chennai,Home,Philips Air Fryer,3,8999,15,22947.45
ORD000022,2025-08-05,Kolkata,Electronics,Sony WH-1000XM5,4,29999,5,113996.2
ORD000023,2025-12-10,Bengaluru,Electronics,Samsung Galaxy S24,2,74999,0,149998.0
ORD000024,2026-04-01,Pune,Electronics,OnePlus 12,2,64999,15,110498.3
ORD000025,2026-05-23,Hyderabad,Home,Philips Air Fryer,1,8999,15,7649.15
ORD000026,2026-04-09,Hyderabad,Electronics,Apple iPhone 15,2,79999,0,159998.0
ORD000027,2026-03-08,Bengaluru,Fashion,Nike Air Max,1,6999,15,5949.15
ORD000028,2026-03-14,Bengaluru,Home,IKEA Study Table,1,12999,10,11699.1
ORD000029,2026-03-02,Delhi,Electronics,Samsung Galaxy S24,3,74999,10,202497.3
ORD000030,2025-07-09,Mumbai,Electronics,OnePlus 12,1,64999,5,61749.05
ORD000031,2025-05-17,Chennai,Fashion,Nike Air Max,1,6999,0,6999.0
ORD000032,2025-01-20,Pune,Fashion,Levi's Jeans,1,2499,5,2374.05
ORD000033,2025-07-26,Bengaluru,Electronics,Samsung Galaxy S24,2,74999,0,149998.0
ORD000034,2025-06-28,Hyderabad,Electronics,OnePlus 12,2,64999,5,123498.1
ORD000035,2025-12-06,Hyderabad,Home,Philips Air Fryer,4,8999,5,34196.2
ORD000036,2024-07-29,Kolkata,Home,Philips Air Fryer,4,8999,10,32396.4
ORD000037,2025-12-08,Pune,Home,IKEA Study Table,1,12999,5,12349.05
ORD000038,2025-07-07,Delhi,Fashion,Nike Air Max,1,6999,5,6649.05
ORD000039,2025-02-26,Delhi,Electronics,Apple iPhone 15,1,79999,0,79999.0
ORD000040,2025-06-03,Pune,Electronics,Samsung Galaxy S24,3,74999,10,202497.3
ORD000041,2025-06-12,Delhi,Electronics,Sony WH-1000XM5,1,29999,15,25499.15
ORD000042,2025-10-10,Delhi,Electronics,OnePlus 12,2,64999,15,110498.3
ORD000043,2025-09-20,Pune,Home,IKEA Study Table,2,12999,5,24698.1
ORD000044,2025-11-01,Ahmedabad,Electronics,Samsung Galaxy S24,2,74999,10,134998.2
ORD000045,2026-05-29,Pune,Home,Philips Air Fryer,1,8999,0,8999.0
ORD000046,2026-02-26,Pune,Electronics,Apple iPhone 15,1,79999,10,71999.1
ORD000047,2025-05-05,Bengaluru,Electronics,Sony WH-1000XM5,1,29999,15,25499.15
ORD000048,2026-05-08,Delhi,Home,Philips Air Fryer,1,8999,15,7649.15
ORD000049,2024-10-26,Mumbai,Electronics,Samsung Galaxy S24,1,74999,0,74999.0
ORD000050,2025-01-12,Bengaluru,Electronics,Apple iPhone 15,4,79999,5,303996.2
ORD000051,2025-10-09,Ahmedabad,Home,Philips Air Fryer,1,8999,5,8549.05
ORD000052,2026-05-17,Ahmedabad,Electronics,Apple iPhone 15,1,79999,0,79999.0
ORD000053,2025-04-05,Hyderabad,Fashion,Levi's Jeans,3,2499,15,6372.45
ORD000054,2024-06-11,Bengaluru,Home,Philips Air Fryer,2,8999,15,15298.3
ORD000055,2025-11-03,Mumbai,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000056,2024-08-16,Bengaluru,Fashion,Nike Air Max,1,6999,15,5949.15
ORD000057,2025-04-23,Bengaluru,Electronics,Apple iPhone 15,4,79999,0,319996.0
ORD000058,2026-02-19,Ahmedabad,Electronics,Samsung Galaxy S24,1,74999,5,71249.05
ORD000059,2026-02-04,Mumbai,Electronics,Samsung Galaxy S24,3,74999,5,213747.15
ORD000060,2024-10-17,Hyderabad,Electronics,Samsung Galaxy S24,1,74999,10,67499.1
ORD000061,2026-05-09,Delhi,Electronics,Sony WH-1000XM5,2,29999,10,53998.2
ORD000062,2024-07-15,Kolkata,Fashion,Levi's Jeans,1,2499,10,2249.1
ORD000063,2024-06-23,Mumbai,Fashion,Nike Air Max,3,6999,0,20997.0
ORD000064,2025-08-01,Pune,Home,IKEA Study Table,2,12999,0,25998.0
ORD000065,2026-03-10,Chennai,Electronics,Sony WH-1000XM5,1,29999,5,28499.05
ORD000066,2025-11-30,Hyderabad,Electronics,Samsung Galaxy S24,3,74999,10,202497.3
ORD000067,2025-07-09,Mumbai,Electronics,OnePlus 12,1,64999,10,58499.1
ORD000068,2024-10-09,Bengaluru,Fashion,Levi's Jeans,3,2499,0,7497.0
ORD000069,2025-06-11,Bengaluru,Fashion,Levi's Jeans,1,2499,0,2499.0
ORD000070,2026-06-03,Chennai,Fashion,Levi's Jeans,1,2499,5,2374.05
ORD000071,2025-10-21,Kolkata,Electronics,Sony WH-1000XM5,2,29999,10,53998.2
ORD000072,2025-09-18,Pune,Fashion,Levi's Jeans,3,2499,0,7497.0
ORD000073,2026-05-02,Mumbai,Home,Philips Air Fryer,2,8999,0,17998.0
ORD000074,2024-10-26,Bengaluru,Fashion,Nike Air Max,2,6999,10,12598.2
ORD000075,2024-11-26,Mumbai,Home,IKEA Study Table,1,12999,15,11049.15
ORD000076,2026-01-07,Mumbai,Electronics,Samsung Galaxy S24,1,74999,5,71249.05
ORD000077,2026-03-21,Ahmedabad,Fashion,Nike Air Max,1,6999,5,6649.05
ORD000078,2025-01-25,Mumbai,Electronics,OnePlus 12,1,64999,10,58499.1
ORD000079,2025-09-23,Pune,Fashion,Nike Air Max,1,6999,5,6649.05
ORD000080,2025-11-09,Bengaluru,Fashion,Nike Air Max,2,6999,15,11898.3
ORD000081,2026-06-07,Ahmedabad,Electronics,Sony WH-1000XM5,3,29999,5,85497.15
ORD000082,2026-05-15,Ahmedabad,Electronics,Apple iPhone 15,1,79999,10,71999.1
ORD000083,2025-04-09,Ahmedabad,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000084,2024-07-17,Delhi,Electronics,Apple iPhone 15,3,79999,5,227997.15
ORD000085,2026-04-24,Delhi,Home,IKEA Study Table,1,12999,5,12349.05
ORD000086,2026-01-10,Chennai,Electronics,Apple iPhone 15,2,79999,15,135998.3
ORD000087,2025-01-03,Chennai,Fashion,Levi's Jeans,3,2499,10,6747.3
ORD000088,2025-08-27,Mumbai,Home,Philips Air Fryer,2,8999,10,16198.2
ORD000089,2025-06-08,Bengaluru,Electronics,Samsung Galaxy S24,3,74999,10,202497.3
ORD000090,2025-12-22,Chennai,Fashion,Levi's Jeans,1,2499,15,2124.15
ORD000091,2026-02-26,Ahmedabad,Fashion,Nike Air Max,1,6999,0,6999.0
ORD000092,2025-03-23,Mumbai,Electronics,Sony WH-1000XM5,1,29999,15,25499.15
ORD000093,2024-06-25,Chennai,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000094,2024-08-09,Hyderabad,Fashion,Nike Air Max,2,6999,0,13998.0
ORD000095,2024-11-18,Ahmedabad,Fashion,Levi's Jeans,2,2499,10,4498.2
ORD000096,2025-03-07,Ahmedabad,Fashion,Levi's Jeans,1,2499,5,2374.05
ORD000097,2024-08-07,Hyderabad,Home,Philips Air Fryer,2,8999,5,17098.1
ORD000098,2025-11-04,Hyderabad,Home,Philips Air Fryer,1,8999,0,8999.0
ORD000099,2025-02-17,Kolkata,Fashion,Levi's Jeans,1,2499,10,2249.1
ORD000100,2025-01-28,Kolkata,Home,IKEA Study Table,1,12999,5,12349.05
ORD000101,2026-03-03,Chennai,Electronics,OnePlus 12,2,64999,10,116998.2
ORD000102,2024-09-09,Hyderabad,Electronics,Samsung Galaxy S24,2,74999,5,142498.1
ORD000103,2024-08-08,Mumbai,Electronics,Sony WH-1000XM5,2,29999,5,56998.1
ORD000104,2025-12-21,Pune,Electronics,Apple iPhone 15,1,79999,15,67999.15
ORD000105,2025-12-22,Ahmedabad,Home,IKEA Study Table,1,12999,5,12349.05
ORD000106,2026-01-09,Mumbai,Home,IKEA Study Table,1,12999,5,12349.05
ORD000107,2025-12-06,Bengaluru,Electronics,Samsung Galaxy S24,2,74999,5,142498.1
ORD000108,2025-09-11,Pune,Home,IKEA Study Table,1,12999,5,12349.05
ORD000109,2024-12-20,Chennai,Home,IKEA Study Table,1,12999,15,11049.15
ORD000110,2024-12-06,Kolkata,Home,IKEA Study Table,2,12999,15,22098.3
ORD000111,2026-04-18,Kolkata,Electronics,OnePlus 12,2,64999,15,110498.3
ORD000112,2025-03-10,Kolkata,Fashion,Levi's Jeans,2,2499,10,4498.2
ORD000113,2025-06-20,Hyderabad,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000114,2026-05-16,Pune,Electronics,Sony WH-1000XM5,1,29999,10,26999.1
ORD000115,2025-03-26,Bengaluru,Electronics,OnePlus 12,1,64999,15,55249.15
ORD000116,2024-07-24,Chennai,Electronics,Sony WH-1000XM5,1,29999,15,25499.15
ORD000117,2026-03-10,Ahmedabad,Home,IKEA Study Table,1,12999,5,12349.05
ORD000118,2024-11-01,Ahmedabad,Home,Philips Air Fryer,3,8999,0,26997.0
ORD000119,2025-10-31,Hyderabad,Home,IKEA Study Table,1,12999,10,11699.1
ORD000120,2024-09-20,Delhi,Home,Philips Air Fryer,3,8999,15,22947.45
ORD000121,2025-03-07,Kolkata,Home,IKEA Study Table,1,12999,15,11049.15
ORD000122,2025-05-16,Bengaluru,Electronics,Apple iPhone 15,1,79999,15,67999.15
ORD000123,2024-08-15,Ahmedabad,Home,IKEA Study Table,3,12999,0,38997.0
ORD000124,2025-01-31,Bengaluru,Electronics,Apple iPhone 15,1,79999,15,67999.15
ORD000125,2025-03-17,Ahmedabad,Home,IKEA Study Table,1,12999,10,11699.1
ORD000126,2024-06-24,Chennai,Fashion,Nike Air Max,1,6999,10,6299.1
ORD000127,2025-05-06,Hyderabad,Home,Philips Air Fryer,1,8999,15,7649.15
ORD000128,2025-04-10,Chennai,Electronics,Samsung Galaxy S24,1,74999,0,74999.0
ORD000129,2025-04-20,Mumbai,Electronics,Sony WH-1000XM5,2,29999,0,59998.0
ORD000130,2025-03-15,Bengaluru,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000131,2024-10-20,Delhi,Electronics,Sony WH-1000XM5,1,29999,0,29999.0
ORD000132,2025-01-30,Bengaluru,Home,IKEA Study Table,2,12999,10,23398.2
ORD000133,2026-04-05,Hyderabad,Electronics,Samsung Galaxy S24,2,74999,5,142498.1
ORD000134,2025-04-28,Ahmedabad,Electronics,Samsung Galaxy S24,1,74999,10,67499.1
ORD000135,2025-08-02,Pune,Home,Philips Air Fryer,3,8999,5,25647.15
ORD000136,2025-06-05,Pune,Electronics,Sony WH-1000XM5,1,29999,10,26999.1
ORD000137,2025-05-23,Chennai,Electronics,Apple iPhone 15,1,79999,15,67999.15
ORD000138,2024-07-08,Mumbai,Electronics,Samsung Galaxy S24,1,74999,10,67499.1
ORD000139,2024-10-21,Ahmedabad,Home,Philips Air Fryer,2,8999,0,17998.0
ORD000140,2026-02-03,Bengaluru,Fashion,Nike Air Max,2,6999,15,11898.3
ORD000141,2024-11-20,Kolkata,Home,Philips Air Fryer,1,8999,10,8099.1
ORD000142,2025-12-17,Chennai,Home,IKEA Study Table,1,12999,10,11699.1
ORD000143,2026-01-27,Hyderabad,Electronics,Sony WH-1000XM5,2,29999,0,59998.0
ORD000144,2025-01-15,Ahmedabad,Home,IKEA Study Table,1,12999,15,11049.15
ORD000145,2025-08-30,Bengaluru,Fashion,Nike Air Max,1,6999,10,6299.1
ORD000146,2024-08-25,Chennai,Home,IKEA Study Table,1,12999,10,11699.1
ORD000147,2024-08-08,Mumbai,Fashion,Levi's Jeans,3,2499,10,6747.3
ORD000148,2026-04-28,Kolkata,Electronics,Sony WH-1000XM5,1,29999,15,25499.15
ORD000149,2026-02-05,Kolkata,Electronics,Sony WH-1000XM5,2,29999,15,50998.3
ORD000150,2025-07-01,Ahmedabad,Electronics,Apple iPhone 15,1,79999,5,75999.05
ORD000151,2025-12-19,Kolkata,Electronics,Sony WH-1000XM5,1,29999,10,26999.1
ORD000152,2025-11-24,Chennai,Fashion,Nike Air Max,1,6999,10,6299.1
ORD000153,2025-07-04,Delhi,Home,IKEA Study Table,1,12999,10,11699.1
ORD000154,2024-08-17,Pune,Electronics,Samsung Galaxy S24,2,74999,10,134998.2
ORD000155,2025-07-20,Hyderabad,Electronics,OnePlus 12,1,64999,15,55249.15
ORD000156,2026-04-14,Hyderabad,Fashion,Levi's Jeans,4,2499,5,9496.2
ORD000157,2026-04-10,Mumbai,Electronics,Sony WH-1000XM5,1,29999,10,26999.1
ORD000158,2025-01-17,Hyderabad,Electronics,OnePlus 12,1,64999,0,64999.0
ORD000159,2025-04-04,Pune,Electronics,OnePlus 12,2,64999,15,110498.3
ORD000160,2026-04-22,Kolkata,Electronics,Apple iPhone 15,1,79999,15,67999.15
ORD000161,2025-06-18,Hyderabad,Home,IKEA Study Table,1,12999,0,12999.0
ORD000162,2024-08-25,Ahmedabad,Home,IKEA Study Table,1,12999,0,12999.0
ORD000163,2024-06-10,Bengaluru,Home,IKEA Study Table,1,12999,0,12999.0
ORD000164,2024-12-05,Pune,Electronics,OnePlus 12,2,64999,10,116998.2
ORD000165,2025-12-13,Delhi,Electronics,Sony WH-1000XM5,1,29999,15,25499.15
ORD000166,2024-10-08,Hyderabad,Home,Philips Air Fryer,1,8999,15,7649.15
ORD000167,2025-07-01,Pune,Home,Philips Air Fryer,1,8999,0,8999.0
ORD000168,2025-09-09,Pune,Electronics,Sony WH-1000XM5,2,29999,10,53998.2
ORD000169,2025-03-11,Bengaluru,Electronics,OnePlus 12,1,64999,0,64999.0
ORD000170,2024-12-04,Hyderabad,Electronics,Apple iPhone 15,1,79999,15,67999.15
ORD000171,2025-09-30,Kolkata,Electronics,Apple iPhone 15,1,79999,10,71999.1
ORD000172,2024-12-31,Delhi,Electronics,Samsung Galaxy S24,2,74999,10,134998.2
ORD000173,2025-09-26,Bengaluru,Home,Philips Air Fryer,1,8999,5,8549.05
ORD000174,2024-09-25,Mumbai,Fashion,Levi's Jeans,2,2499,0,4998.0
